"","label","levels","all"
"1","age.group","<=40","551 (28.9)"
"2","","41:64","689 (36.1)"
"3","",">=65","669 (35.0)"
"4","gender","Male","863 (45.2)"
"5","","Female","1046 (54.8)"
"6","referralsite","Gaza","116 (6.1)"
"7","","West bank","1793 (93.9)"
"8","year","2017","15 (0.8)"
"9","","2018","256 (13.4)"
"10","","2019","423 (22.2)"
"11","","2020","372 (19.5)"
"12","","2021","382 (20.0)"
"13","","2022","461 (24.1)"
